NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Epha5	NA	19	1.0259259939193726	0.16971663	Yes	
row_1	Adra2c	NA	74	0.5777059197425842	0.22050656	Yes	
row_2	Pde6b	NA	87	0.5528908967971802	0.31014943	Yes	
row_3	Htr1d	NA	131	0.4556097090244293	0.3497783	Yes	
row_4	Sncb	NA	172	0.32010650634765625	0.36749837	Yes	
row_5	Sptbn2	NA	317	0.04649806022644043	0.2271668	No	
row_6	Sidt1	NA	443	-0.09336451441049576	0.115134224	No	
row_7	Nos1	NA	451	-0.10092510282993317	0.12652406	No	
row_8	Arpp21	NA	528	-0.1658870428800583	0.07854984	No	
row_9	Kcnq2	NA	537	-0.17639194428920746	0.10283519	No	
row_10	Ryr2	NA	578	-0.21762405335903168	0.101639114	No	
row_11	Slc30a3	NA	588	-0.22797176241874695	0.13441092	No	
row_12	Tgm1	NA	697	-0.34049272537231445	0.085573316	No	
row_13	Cldn8	NA	837	-0.5342698097229004	0.040445097	No	
row_14	Dlk2	NA	862	-0.5820519924163818	0.123061	No	
